epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14488.9,0.78839,0.52947,1.14213,0.81234,0.69054,0.75859,0.39152,1.65757,1.0724,1.75533,0.007228,0.007228,0.007228
44,14823.7,0.77772,0.51818,1.13413,0.81931,0.69301,0.76011,0.39648,1.65133,1.06187,1.74785,0.007162,0.007162,0.007162
45,15161.4,0.78182,0.52425,1.13576,0.8337,0.70314,0.76523,0.40078,1.64633,1.04513,1.7402,0.007096,0.007096,0.007096
46,15499.6,0.77893,0.52491,1.1332,0.8388,0.70394,0.77523,0.40396,1.64407,1.03841,1.73423,0.00703,0.00703,0.00703
47,15823,0.77443,0.5191,1.13618,0.85826,0.7055,0.77673,0.40554,1.64147,1.0369,1.73189,0.006964,0.006964,0.006964
48,16156,0.76751,0.51538,1.12942,0.86026,0.70598,0.77975,0.40675,1.63797,1.03472,1.72692,0.006898,0.006898,0.006898
49,16497.2,0.7667,0.51238,1.12667,0.84344,0.70958,0.77641,0.40566,1.63942,1.03118,1.72275,0.006832,0.006832,0.006832
50,16838.9,0.75983,0.50533,1.12024,0.85709,0.70847,0.77903,0.40468,1.64145,1.02331,1.72123,0.006766,0.006766,0.006766
51,17189.2,0.75566,0.50435,1.12107,0.85051,0.7087,0.7793,0.40502,1.63738,1.01861,1.71903,0.0067,0.0067,0.0067
52,17521,0.75339,0.5036,1.11653,0.85473,0.7069,0.78189,0.40754,1.6345,1.0125,1.71767,0.006634,0.006634,0.006634
53,17861.2,0.75087,0.50016,1.1185,0.85772,0.70757,0.78119,0.40876,1.63225,1.00697,1.71542,0.006568,0.006568,0.006568
54,18203.1,0.74365,0.49616,1.11241,0.85195,0.71059,0.78474,0.41059,1.62911,1.00222,1.71377,0.006502,0.006502,0.006502
55,18546,0.74389,0.49257,1.11165,0.86201,0.7057,0.78445,0.41204,1.62563,0.99784,1.71029,0.006436,0.006436,0.006436
56,18890.1,0.74018,0.49192,1.10945,0.8483,0.71421,0.78887,0.41248,1.62221,0.99489,1.70699,0.00637,0.00637,0.00637
57,19224.5,0.73524,0.48982,1.10795,0.85788,0.71196,0.78783,0.41406,1.62016,0.99336,1.7041,0.006304,0.006304,0.006304
58,19575.1,0.73228,0.48355,1.10293,0.85353,0.71307,0.78863,0.41464,1.6192,0.99053,1.70287,0.006238,0.006238,0.006238
59,19916.8,0.7282,0.48278,1.10422,0.86767,0.70742,0.78921,0.41544,1.61785,0.98871,1.7009,0.006172,0.006172,0.006172
60,20230.9,0.73127,0.48041,1.10286,0.86477,0.70966,0.78977,0.41445,1.61859,0.98565,1.70024,0.006106,0.006106,0.006106
61,20542.3,0.72322,0.47405,1.09659,0.86724,0.70733,0.78973,0.41607,1.61689,0.9826,1.69775,0.00604,0.00604,0.00604
62,20851.4,0.72497,0.47775,1.09786,0.86642,0.70675,0.79099,0.41598,1.61649,0.97933,1.69649,0.005974,0.005974,0.005974
63,21165.2,0.72001,0.47721,1.09493,0.85908,0.71382,0.79267,0.4169,1.61561,0.97677,1.69538,0.005908,0.005908,0.005908
64,21478.8,0.71866,0.47378,1.0904,0.86099,0.71302,0.79193,0.41738,1.61432,0.97395,1.69445,0.005842,0.005842,0.005842
65,21795.4,0.71132,0.46624,1.08762,0.85961,0.71721,0.79397,0.4185,1.61256,0.97133,1.6927,0.005776,0.005776,0.005776
66,22113.6,0.70673,0.46726,1.08562,0.85657,0.71842,0.79417,0.41965,1.61156,0.96977,1.69117,0.00571,0.00571,0.00571
67,22427.2,0.70555,0.46962,1.08526,0.85481,0.72159,0.79697,0.41955,1.61107,0.96852,1.69025,0.005644,0.005644,0.005644
68,22735.7,0.70694,0.46592,1.0866,0.87429,0.71617,0.79791,0.4196,1.61007,0.96669,1.68877,0.005578,0.005578,0.005578
69,23049.5,0.70545,0.46448,1.0849,0.86663,0.71911,0.79846,0.42122,1.6088,0.96419,1.68648,0.005512,0.005512,0.005512
70,23364.4,0.69568,0.46131,1.08147,0.86882,0.7191,0.79874,0.42173,1.60692,0.96187,1.68526,0.005446,0.005446,0.005446
71,23678.6,0.69312,0.45777,1.07856,0.86166,0.72455,0.7997,0.4221,1.60588,0.95972,1.68395,0.00538,0.00538,0.00538
72,23991.2,0.6944,0.45709,1.07954,0.86824,0.72412,0.80136,0.42259,1.60478,0.95729,1.68205,0.005314,0.005314,0.005314
73,24299.7,0.68903,0.45285,1.07694,0.86457,0.72445,0.80054,0.42302,1.60398,0.95529,1.68068,0.005248,0.005248,0.005248
