epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11969.6,0.69136,0.46327,1.10631,0.83356,0.72915,0.81109,0.43278,1.57656,0.93664,1.77599,0.007228,0.007228,0.007228
44,12248.4,0.68348,0.45512,1.10362,0.83268,0.74359,0.81531,0.43477,1.56955,0.93063,1.77793,0.007162,0.007162,0.007162
45,12526.1,0.68577,0.45449,1.10117,0.86335,0.73603,0.81707,0.43712,1.57179,0.92801,1.77674,0.007096,0.007096,0.007096
46,12804.5,0.68335,0.45538,1.09832,0.85689,0.73702,0.82038,0.43896,1.57043,0.92008,1.76891,0.00703,0.00703,0.00703
47,13081.6,0.67476,0.44931,1.09744,0.84793,0.7558,0.82387,0.43861,1.56651,0.91763,1.76645,0.006964,0.006964,0.006964
48,13354.9,0.66923,0.44611,1.09057,0.83186,0.75814,0.82276,0.44007,1.56584,0.9157,1.76366,0.006898,0.006898,0.006898
49,13629.9,0.66609,0.43961,1.08443,0.83896,0.75419,0.823,0.44019,1.56732,0.9105,1.75749,0.006832,0.006832,0.006832
50,13903.4,0.66396,0.44022,1.08534,0.85295,0.75274,0.82406,0.44131,1.56504,0.90417,1.75197,0.006766,0.006766,0.006766
51,14175.2,0.66014,0.43568,1.08385,0.85866,0.74814,0.82378,0.44122,1.56438,0.89909,1.75224,0.0067,0.0067,0.0067
52,14448.2,0.65383,0.43254,1.07806,0.86485,0.75051,0.82923,0.44471,1.56126,0.89603,1.74915,0.006634,0.006634,0.006634
53,14721.4,0.65391,0.42999,1.07989,0.87227,0.7477,0.83081,0.44617,1.55895,0.89198,1.74529,0.006568,0.006568,0.006568
54,14997.7,0.64864,0.43006,1.07311,0.86519,0.74734,0.83051,0.44616,1.5569,0.88853,1.7425,0.006502,0.006502,0.006502
55,15276.1,0.64463,0.42463,1.07017,0.87318,0.74473,0.83067,0.44621,1.55535,0.88686,1.73912,0.006436,0.006436,0.006436
56,15549.4,0.64004,0.42394,1.06862,0.86966,0.73986,0.83115,0.44731,1.55551,0.88469,1.73886,0.00637,0.00637,0.00637
57,15820.2,0.63882,0.41898,1.06608,0.8608,0.74967,0.83208,0.44795,1.55322,0.87971,1.73434,0.006304,0.006304,0.006304
58,16090.8,0.63442,0.41521,1.06308,0.86195,0.75175,0.83199,0.44768,1.55266,0.8753,1.73398,0.006238,0.006238,0.006238
59,16360.5,0.63168,0.41181,1.06126,0.86832,0.75459,0.83358,0.44813,1.5519,0.87068,1.73184,0.006172,0.006172,0.006172
60,16632,0.63545,0.41231,1.0636,0.87193,0.75492,0.83512,0.44747,1.55147,0.86752,1.72908,0.006106,0.006106,0.006106
61,16905.2,0.6261,0.4075,1.05833,0.87034,0.75888,0.83671,0.44924,1.551,0.86431,1.72706,0.00604,0.00604,0.00604
62,17175.5,0.62612,0.40523,1.05695,0.86909,0.76039,0.83887,0.45075,1.55004,0.86191,1.72487,0.005974,0.005974,0.005974
63,17446.8,0.623,0.40781,1.05308,0.87266,0.76106,0.84145,0.45111,1.54832,0.85887,1.72184,0.005908,0.005908,0.005908
64,17718.3,0.62125,0.40326,1.0545,0.85951,0.7668,0.84064,0.45339,1.5475,0.85643,1.71992,0.005842,0.005842,0.005842
65,17997.7,0.61774,0.40191,1.04931,0.85212,0.7734,0.84097,0.4536,1.54682,0.85359,1.71764,0.005776,0.005776,0.005776
66,18277.5,0.61031,0.3978,1.04399,0.85249,0.773,0.84069,0.45301,1.54553,0.85158,1.7149,0.00571,0.00571,0.00571
67,18554.6,0.60828,0.39599,1.04691,0.85696,0.77227,0.84124,0.45396,1.54464,0.84897,1.71397,0.005644,0.005644,0.005644
68,18834.8,0.6049,0.39185,1.04272,0.85835,0.77083,0.84237,0.45423,1.5443,0.84634,1.71251,0.005578,0.005578,0.005578
69,19116.9,0.60649,0.39623,1.04395,0.86073,0.77234,0.84278,0.45519,1.5432,0.84393,1.71025,0.005512,0.005512,0.005512
70,19398.5,0.6008,0.39126,1.04009,0.86127,0.77365,0.84361,0.45603,1.5429,0.84152,1.70938,0.005446,0.005446,0.005446
71,19676.7,0.59877,0.38953,1.0395,0.86415,0.77263,0.84396,0.45611,1.54205,0.84019,1.70744,0.00538,0.00538,0.00538
72,19952.2,0.59478,0.38781,1.03811,0.86724,0.77193,0.84359,0.45611,1.54117,0.83791,1.70545,0.005314,0.005314,0.005314
73,20225.4,0.59288,0.38726,1.0357,0.86653,0.7733,0.84395,0.45623,1.53953,0.83616,1.70303,0.005248,0.005248,0.005248
74,20497.4,0.58491,0.37605,1.03015,0.869,0.77598,0.84499,0.4571,1.53858,0.83457,1.70082,0.005182,0.005182,0.005182
75,20770.7,0.58619,0.37974,1.02885,0.86882,0.77589,0.84542,0.45745,1.53777,0.83221,1.69751,0.005116,0.005116,0.005116
76,21044.1,0.58767,0.38201,1.03275,0.86974,0.77718,0.84476,0.45772,1.53663,0.8306,1.69598,0.00505,0.00505,0.00505
77,21315.8,0.58106,0.37722,1.02538,0.86894,0.77909,0.84547,0.45852,1.53594,0.82866,1.69431,0.004984,0.004984,0.004984
78,21593,0.5766,0.37288,1.02605,0.87574,0.7796,0.84811,0.45869,1.53497,0.82711,1.69188,0.004918,0.004918,0.004918
79,21874.9,0.57236,0.36865,1.02348,0.87629,0.78265,0.84945,0.45938,1.53418,0.82447,1.69038,0.004852,0.004852,0.004852
80,22156.3,0.57176,0.36619,1.01863,0.8714,0.78221,0.84815,0.45974,1.53342,0.8218,1.68733,0.004786,0.004786,0.004786
81,22439.6,0.57171,0.36898,1.02162,0.87475,0.78273,0.85025,0.46156,1.53315,0.82015,1.68584,0.00472,0.00472,0.00472
82,22720,0.57107,0.36711,1.01965,0.87581,0.78475,0.85096,0.46144,1.53246,0.81827,1.68362,0.004654,0.004654,0.004654
83,23001,0.56268,0.36405,1.01461,0.87454,0.7869,0.85184,0.46184,1.5321,0.81659,1.68211,0.004588,0.004588,0.004588
84,23288.4,0.56401,0.36264,1.01532,0.87848,0.78804,0.85177,0.46184,1.5305,0.81502,1.67958,0.004522,0.004522,0.004522
85,23571.6,0.55696,0.35883,1.01282,0.87887,0.78736,0.85235,0.46272,1.53006,0.81326,1.67804,0.004456,0.004456,0.004456
86,23856.9,0.55833,0.35735,1.01195,0.88102,0.78709,0.85285,0.4634,1.52953,0.81143,1.67626,0.00439,0.00439,0.00439
87,24131.6,0.55988,0.35957,1.01428,0.88196,0.78872,0.85271,0.46327,1.52939,0.80994,1.67471,0.004324,0.004324,0.004324
88,24408.1,0.55642,0.35542,1.01163,0.88281,0.78882,0.85436,0.46407,1.52834,0.80808,1.67278,0.004258,0.004258,0.004258
89,24683.5,inf,0.35124,1.00842,0.88079,0.78981,0.85441,0.46493,1.52783,0.80658,1.67141,0.004192,0.004192,0.004192
90,24952.2,0.54873,0.35127,1.00886,0.88186,0.78931,0.85434,0.46549,1.52733,0.80529,1.67039,0.004126,0.004126,0.004126
91,25231.5,0.54278,0.34875,1.00639,0.88319,0.78749,0.85396,0.4653,1.52698,0.80395,1.6689,0.00406,0.00406,0.00406
92,25509.7,0.54387,0.34556,1.00276,0.88199,0.79002,0.85499,0.46599,1.52595,0.80243,1.6663,0.003994,0.003994,0.003994
93,25791.3,0.53909,0.34583,1.00277,0.88257,0.78863,0.85518,0.46611,1.52542,0.80119,1.66416,0.003928,0.003928,0.003928
94,26074.7,0.53957,0.34541,1.00135,0.88157,0.79021,0.85614,0.46664,1.52491,0.7999,1.66195,0.003862,0.003862,0.003862
95,26356.3,0.53983,0.34485,1.00205,0.88247,0.78967,0.85615,0.46639,1.52471,0.79874,1.66024,0.003796,0.003796,0.003796
96,26637.8,0.53561,0.34293,0.99765,0.87963,0.79137,0.85844,0.46703,1.52376,0.79719,1.65786,0.00373,0.00373,0.00373
97,26922.1,0.53582,0.34417,1.00282,0.87904,0.79197,0.85886,0.46798,1.52311,0.79581,1.65581,0.003664,0.003664,0.003664
98,27207.5,0.52954,0.33706,0.99641,0.87546,0.79145,0.85952,0.46756,1.52281,0.79442,1.65407,0.003598,0.003598,0.003598
